"","question","answer","notion"
"323","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"324","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"325","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"326","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"327","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"328","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"329","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"330","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"331","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"332","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"333","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"334","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"335","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"336","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"337","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"338","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"339","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"340","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"341","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"342","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"343","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"344","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"345","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"346","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"347","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"348","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"349","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"350","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"351","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"352","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"353","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"354","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"355","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"356","NQ3. I think there is too much inconsistency in this notation.","Agree","negative"
"357","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"358","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"359","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"360","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"361","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"362","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"363","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"364","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"365","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"366","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"367","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"368","NQ3. I think there is too much inconsistency in this notation.","Agree","negative"
"369","NQ3. I think there is too much inconsistency in this notation.","Agree","negative"
"370","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"371","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"372","NQ3. I think there is too much inconsistency in this notation.","Agree","negative"
"373","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"374","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"375","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"376","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"377","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"378","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"379","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"380","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"381","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"382","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"383","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"384","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"385","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"386","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"387","NQ3. I think there is too much inconsistency in this notation.","Agree","negative"
"388","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"389","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"390","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"391","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"392","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"393","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"394","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"395","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"396","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"397","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"398","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"399","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"400","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
