"","question","answer","notion"
"39","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"40","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"41","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"42","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"43","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"44","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"45","PQ1. I think that I would like to use this notation frequently.","Neutral","positive"
"46","PQ1. I think that I would like to use this notation frequently.","Agree","positive"
"47","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"48","PQ1. I think that I would like to use this notation frequently.","Strongly Agree","positive"
"49","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"50","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"51","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"52","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"53","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"54","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"55","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"56","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"57","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"58","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"59","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"60","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"61","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"62","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"63","NQ1. I find the notation unnecessarily complex.","Agree","negative"
"64","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"65","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"66","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"67","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"68","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"69","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"70","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"71","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"72","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"73","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"74","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"75","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"76","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"77","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"78","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"79","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"80","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"81","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"82","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"83","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"84","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"85","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"86","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"87","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"88","NQ1. I find the notation unnecessarily complex.","Disagree","negative"
"89","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"90","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"91","NQ1. I find the notation unnecessarily complex.","Strongly Agree","negative"
"92","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"93","NQ1. I find the notation unnecessarily complex.","Neutral","negative"
"94","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"95","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"96","NQ1. I find the notation unnecessarily complex.","Strongly Disagree","negative"
"97","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"98","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"99","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"100","PQ2. I think the notation would be easy to use.","Agree","positive"
"101","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"102","PQ2. I think the notation would be easy to use.","Agree","positive"
"103","PQ2. I think the notation would be easy to use.","Agree","positive"
"104","PQ2. I think the notation would be easy to use.","Agree","positive"
"105","PQ2. I think the notation would be easy to use.","Agree","positive"
"106","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"107","PQ2. I think the notation would be easy to use.","Neutral","positive"
"108","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"109","PQ2. I think the notation would be easy to use.","Agree","positive"
"110","PQ2. I think the notation would be easy to use.","Disagree","positive"
"111","PQ2. I think the notation would be easy to use.","Disagree","positive"
"112","PQ2. I think the notation would be easy to use.","Strongly Disagree","positive"
"113","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"114","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"115","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"116","PQ2. I think the notation would be easy to use.","Agree","positive"
"117","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"118","PQ2. I think the notation would be easy to use.","Agree","positive"
"119","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"120","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"121","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"122","PQ2. I think the notation would be easy to use.","Agree","positive"
"123","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"124","PQ2. I think the notation would be easy to use.","Agree","positive"
"125","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"126","PQ2. I think the notation would be easy to use.","Neutral","positive"
"127","PQ2. I think the notation would be easy to use.","Agree","positive"
"128","PQ2. I think the notation would be easy to use.","Agree","positive"
"129","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"130","PQ2. I think the notation would be easy to use.","Agree","positive"
"131","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"132","PQ2. I think the notation would be easy to use.","Agree","positive"
"133","PQ2. I think the notation would be easy to use.","Agree","positive"
"134","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"135","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"136","PQ2. I think the notation would be easy to use.","Neutral","positive"
"137","PQ2. I think the notation would be easy to use.","Neutral","positive"
"138","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"139","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"140","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"141","PQ2. I think the notation would be easy to use.","Agree","positive"
"142","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"143","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"144","PQ2. I think the notation would be easy to use.","Strongly Agree","positive"
"145","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"146","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"147","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"148","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"149","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"150","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"151","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"152","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"153","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"154","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"155","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"156","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"157","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"158","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"159","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"160","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Agree","negative"
"161","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"162","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"163","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"164","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"165","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"166","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"167","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"168","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"169","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"170","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"171","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"172","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"173","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"174","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"175","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Agree","negative"
"176","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"177","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"178","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"179","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"180","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"181","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"182","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"183","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"184","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"185","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Neutral","negative"
"186","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"187","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"188","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"189","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Disagree","negative"
"190","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"191","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"192","NQ2. I think that I would need the support of a technical person to be able to use this notation.","Strongly Disagree","negative"
"193","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"194","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"195","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"196","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"197","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"198","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"199","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"200","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"201","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"202","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"203","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"204","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"205","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"206","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"207","PQ3. I find the various functions in this notation are well integrated.","Neutral","positive"
"208","PQ3. I find the various functions in this notation are well integrated.","Strongly Disagree","positive"
"209","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"210","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"211","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"212","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"213","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"214","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"215","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"216","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"217","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"218","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"219","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"220","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"221","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"222","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"223","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"224","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"225","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"226","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"227","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"228","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"229","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"230","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"231","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"232","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"233","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"234","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"235","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"236","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"237","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"238","PQ3. I find the various functions in this notation are well integrated.","Agree","positive"
"239","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"240","PQ3. I find the various functions in this notation are well integrated.","Strongly Agree","positive"
"241","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"242","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"243","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"244","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"245","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"246","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"247","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"248","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"249","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"250","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"251","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"252","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"253","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"254","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"255","NQ3. I think there is too much inconsistency in this notation.","Strongly Agree","negative"
"256","NQ3. I think there is too much inconsistency in this notation.","Strongly Agree","negative"
"257","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"258","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"259","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"260","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"261","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"262","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"263","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"264","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"265","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"266","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"267","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"268","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"269","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"270","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"271","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"272","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"273","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"274","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"275","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"276","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"277","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"278","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"279","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"280","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"281","NQ3. I think there is too much inconsistency in this notation.","Neutral","negative"
"282","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"283","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"284","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"285","NQ3. I think there is too much inconsistency in this notation.","Disagree","negative"
"286","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"287","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"288","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"289","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"290","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"291","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"292","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"293","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"294","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"295","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"296","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"297","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"298","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"299","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"300","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"301","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"302","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"303","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"304","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"305","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"306","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"307","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"308","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"309","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"310","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"311","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"312","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"313","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"314","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"315","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"316","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"317","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"318","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"319","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"320","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"321","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"322","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"323","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"324","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"325","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"326","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"327","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"328","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"329","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"330","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"331","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"332","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"333","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"334","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"335","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"336","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"337","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"338","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"339","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"340","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"341","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"342","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"343","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"344","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"345","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"346","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"347","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"348","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"349","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"350","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"351","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"352","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"353","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"354","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"355","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"356","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"357","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"358","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"359","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"360","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"361","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"362","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"363","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"364","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"365","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"366","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"367","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"368","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"369","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"370","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"371","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"372","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"373","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"374","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"375","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"376","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"377","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"378","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"379","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"380","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"381","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"382","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"383","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"384","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"385","PQ5. I would feel very confident using the notation.","Agree","positive"
"386","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"387","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"388","PQ5. I would feel very confident using the notation.","Agree","positive"
"389","PQ5. I would feel very confident using the notation.","Agree","positive"
